index,execution_time,plant,staerke_num,staerke_txt
0,2020-05-17 08:58:49.162521,Erle,0,keine
1,2020-05-17 08:58:49.162521,Hasel,0,keine
2,2020-05-17 08:58:49.162521,L\xf6wenzahn,3,stark
3,2020-05-17 08:58:49.162521,Gr\xe4ser,3,stark
4,2020-05-17 08:58:49.162521,Gerste,2,mäßig
5,2020-05-17 08:58:49.162521,Linde,1,schwach
7,2020-05-17 08:58:49.162521,Beifu\xdf,2,mäßig
8,2020-05-17 08:58:49.162521,G\xe4nsefu\xdf,1,schwach
9,2020-05-17 08:58:49.162521,Mais,1,schwach
10,2020-05-17 08:58:49.162521,Brennessel,2,mäßig
11,2020-05-17 08:58:49.162521,Hafer,2,mäßig
12,2020-05-17 08:58:49.162521,Roggen,2,mäßig
14,2020-05-17 08:58:49.162521,Weizen,2,mäßig
15,2020-05-17 08:58:49.162521,Spitzwegerich,3,stark
16,2020-05-17 08:58:49.162521,Raps,2,mäßig
17,2020-05-17 08:58:49.162521,Hopfen,3,stark
18,2020-05-17 08:58:49.162521,Holunder,2,mäßig
19,2020-05-17 08:58:49.162521,Ulme,1,schwach
21,2020-05-17 08:58:49.162521,Pappel,1,schwach
22,2020-05-17 08:58:49.162521,Weide,1,schwach
23,2020-05-17 08:58:49.162521,Birke,0,keine
24,2020-05-17 08:58:49.162521,Eiche,1,schwach
25,2020-05-17 08:58:49.162521,Esche,1,schwach
26,2020-05-17 08:58:49.162521,Platane,2,mäßig
28,2020-05-17 08:58:49.162521,Flieder,1,schwach
29,2020-05-17 08:58:49.162521,Ambrosia,0,keine
30,2020-05-17 08:58:49.162521,Buche,3,stark
31,2020-05-17 08:58:49.162521,Rotbuche,3,stark
32,2020-05-17 08:58:49.162521,Ahorn,3,stark
33,2020-05-17 08:58:49.162521,Nessel,1,schwach
35,2020-05-17 08:58:49.162521,Kiefer,2,mäßig
36,2020-05-17 08:58:49.162521,Tanne,3,stark
37,2020-05-17 08:58:49.162521,Fichte,3,stark
0,2020-05-07 06:52:46.345021,Erle,0,keine
1,2020-05-07 06:52:46.345021,Hasel,0,keine
2,2020-05-07 06:52:46.345021,L\xf6wenzahn,3,stark
3,2020-05-07 06:52:46.345021,Gr\xe4ser,3,stark
4,2020-05-07 06:52:46.345021,Gerste,1,schwach
5,2020-05-07 06:52:46.345021,Linde,1,schwach
7,2020-05-07 06:52:46.345021,Beifu\xdf,1,schwach
8,2020-05-07 06:52:46.345021,G\xe4nsefu\xdf,1,schwach
9,2020-05-07 06:52:46.345021,Mais,1,schwach
10,2020-05-07 06:52:46.345021,Brennessel,1,schwach
11,2020-05-07 06:52:46.345021,Hafer,1,schwach
12,2020-05-07 06:52:46.345021,Roggen,2,mäßig
14,2020-05-07 06:52:46.345021,Weizen,1,schwach
15,2020-05-07 06:52:46.345021,Spitzwegerich,3,stark
16,2020-05-07 06:52:46.345021,Raps,2,mäßig
17,2020-05-07 06:52:46.345021,Hopfen,2,mäßig
18,2020-05-07 06:52:46.345021,Holunder,1,schwach
19,2020-05-07 06:52:46.345021,Ulme,1,schwach
21,2020-05-07 06:52:46.345021,Pappel,1,schwach
22,2020-05-07 06:52:46.345021,Weide,1,schwach
23,2020-05-07 06:52:46.345021,Birke,1,schwach
24,2020-05-07 06:52:46.345021,Eiche,2,mäßig
25,2020-05-07 06:52:46.345021,Esche,1,schwach
26,2020-05-07 06:52:46.345021,Platane,2,mäßig
28,2020-05-07 06:52:46.345021,Flieder,2,mäßig
29,2020-05-07 06:52:46.345021,Ambrosia,0,keine
